word,variant,kind,gated,passed,score,min_score,group,pairs,alpha,mode,pattern,active_frame_count,changed_frames,changed_points,changed_pairs,skipped_pairs,total_frames,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,right_hand,[],0.0,compress,none,0,0,0,0,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,flower_right_index_middle_base_single_mid_compress_0p35,positive,True,True,99.75065827787623,70.0,right_hand,"[('index', 'middle')]",0.35,compress,single_mid,1,1,2,1,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手 index/middle MCP 基座单帧压缩，模拟瞬时指根定位漂移。
花,flower_right_nonoverlap_base_sparse_compress_0p22_every_5f,positive,True,True,98.13437806175534,70.0,right_hand,"[('index', 'middle'), ('ring', 'pinky')]",0.22,compress,sparse_every_5f,10,7,28,14,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手相邻 MCP 基座稀疏帧压缩，distal 张开证据仍应保留。
花,flower_right_wide_base_middle20_spread_0p14,positive,True,True,97.56937529282371,70.0,right_hand,"[('thumb', 'index'), ('middle', 'ring')]",0.14,spread,middle_20pct,11,11,55,22,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心窗口 thumb/index 与 middle/ring 指根轻度拉开，覆盖 palm-base spread 漂移。
花,flower_right_nonoverlap_base_middle20_compress_0p16,positive,True,True,97.6002459162328,70.0,right_hand,"[('index', 'middle'), ('ring', 'pinky')]",0.16,compress,middle_20pct,11,11,44,22,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花短核心窗口非重叠相邻 MCP 基座压缩，验证局部基座几何容错。
花,flower_right_nonoverlap_base_full_compress_0p05,positive,True,True,81.34678162477636,70.0,right_hand,"[('index', 'middle'), ('ring', 'pinky')]",0.05,compress,full,53,40,160,80,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花全程极轻微 MCP 基座压缩，不应破坏开合相位和核心手形。
花,flower_right_full_base_middle35_compress_0p55_diagnostic,diagnostic,False,True,95.18217928851567,,right_hand,"[('thumb', 'index'), ('index', 'middle'), ('middle', 'ring'), ('ring', 'pinky')]",0.55,compress,middle_35pct,19,19,114,76,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,诊断记录：较长核心窗口所有指根明显塌缩时的边界分。
花,flower_right_full_base_full_cross_1p10_diagnostic,diagnostic,False,True,79.07088548347654,,right_hand,"[('thumb', 'index'), ('index', 'middle'), ('middle', 'ring'), ('ring', 'pinky')]",1.1,cross,full,53,40,240,160,0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,诊断记录：全程相邻 MCP/CMC 基座几何交叉时的边界分。
跳,self_recomputed,positive,True,True,100.0,95.0,right_hand,[],0.0,compress,none,0,0,0,0,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,jump_right_person_base_full_compress_0p05,positive,True,True,99.22353165698644,70.0,right_hand,"[('index', 'middle')]",0.05,compress,full,19,17,34,17,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手两指小人 index/middle MCP 基座全程轻微压缩，双手关系和指尖两指形仍应稳定。
跳,jump_right_person_base_full_spread_0p05,positive,True,True,99.24508332193484,70.0,right_hand,"[('index', 'middle')]",0.05,spread,full,19,17,34,17,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手两指小人 index/middle MCP 基座全程轻微拉大，覆盖相反 palm-base drift。
跳,jump_right_person_base_sparse_compress_0p16_every_5f,positive,True,True,99.61492039358,70.0,right_hand,"[('index', 'middle')]",0.16,compress,sparse_every_5f,4,4,8,4,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手两指小人稀疏帧中度 MCP 基座压缩，跳跃轨迹仍应保持。
跳,jump_right_person_base_middle20_compress_0p10,positive,True,True,99.49243291901658,70.0,right_hand,"[('index', 'middle')]",0.1,compress,middle_20pct,3,3,6,3,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手两指核心短窗口轻度 MCP 基座压缩，验证局部 palm-base 容错。
跳,jump_left_ground_base_nonoverlap_full_compress_0p08,positive,True,True,99.95664495781729,70.0,left_hand,"[('index', 'middle'), ('ring', 'pinky')]",0.08,compress,full,19,16,64,32,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的左手地面手相邻指根轻度压缩，右手两指语义和双手关系应不受影响。
跳,jump_right_person_base_full_cross_1p00_diagnostic,diagnostic,False,True,84.06546800467729,,right_hand,"[('index', 'middle')]",1.0,cross,full,19,17,34,17,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,诊断记录：右手两指小人 index/middle MCP 基座全程几何交叉时的边界分。
跳,jump_right_person_base_middle35_compress_0p60_diagnostic,diagnostic,False,True,93.3871341190626,,right_hand,"[('index', 'middle')]",0.6,compress,middle_35pct,7,7,14,7,0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,诊断记录：右手两指小人较长核心窗口明显 MCP 基座塌缩时的边界分。
