word,variant,feature_mode,passed,score,min_score,dtw_distance,normalized_distance,result_finite,metadata_valid,fps,total_frames,frame_idx_min,frame_idx_max,frame_idx_nonmonotonic,timestamp_nonfinite,timestamp_negative,changed_metadata_values,exception,fixture_json,rationale
花,self_reloaded,configured,True,100.0,95.0,0.0,0.0,True,True,29.44954128440367,107,0,104,0,0,0,0,,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_partial_hand_bone_length_74gate_v1/temporal_metadata_robustness_gate/fixtures/花/self_reloaded/query.json,原始标准 JSON 经正常加载后应保持近满分且时间元数据有限。
花,fps_nan_sanitized,configured,True,100.0,70.0,0.0,0.0,True,True,25.0,107,0,104,0,0,0,1,,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_partial_hand_bone_length_74gate_v1/temporal_metadata_robustness_gate/fixtures/花/fps_nan_sanitized/query.json,顶层 fps=NaN 时应回退到安全默认帧率。
花,fps_string_sanitized,configured,True,100.0,70.0,0.0,0.0,True,True,25.0,107,0,104,0,0,0,1,,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_partial_hand_bone_length_74gate_v1/temporal_metadata_robustness_gate/fixtures/花/fps_string_sanitized/query.json,顶层 fps 为非数值字符串时应回退到安全默认帧率。
花,fps_extreme_sanitized,configured,True,100.0,70.0,0.0,0.0,True,True,25.0,107,0,104,0,0,0,1,,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_partial_hand_bone_length_74gate_v1/temporal_metadata_robustness_gate/fixtures/花/fps_extreme_sanitized/query.json,顶层 fps 为极大离群值时应回退到安全默认帧率。
花,total_frames_inf_recovered,configured,True,100.0,70.0,0.0,0.0,True,True,29.44954128440367,105,0,104,0,0,0,1,,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_partial_hand_bone_length_74gate_v1/temporal_metadata_robustness_gate/fixtures/花/total_frames_inf_recovered/query.json,total_frames=Inf 时应从可靠帧索引恢复总帧数。
花,total_frames_extreme_recovered,configured,True,100.0,70.0,0.0,0.0,True,True,29.44954128440367,105,0,104,0,0,0,1,,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_partial_hand_bone_length_74gate_v1/temporal_metadata_robustness_gate/fixtures/花/total_frames_extreme_recovered/query.json,total_frames 极大离群时应从可靠帧索引恢复总帧数。
花,mid_frame_idx_nan_both_fallback,configured,True,100.0,70.0,0.0,0.0,True,True,29.44954128440367,107,0,104,0,0,0,1,,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_partial_hand_bone_length_74gate_v1/temporal_metadata_robustness_gate/fixtures/花/mid_frame_idx_nan_both_fallback/query.json,单帧 record/row frame_idx 均为 NaN 时应保持原有动作顺序。
花,mid_frame_idx_negative_both_fallback,configured,True,100.0,70.0,0.0,0.0,True,True,29.44954128440367,107,0,104,0,0,0,1,,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_partial_hand_bone_length_74gate_v1/temporal_metadata_robustness_gate/fixtures/花/mid_frame_idx_negative_both_fallback/query.json,单帧负 frame_idx 不应被排序到动作开头。
花,mid_frame_idx_extreme_both_fallback,configured,True,100.0,70.0,0.0,0.0,True,True,29.44954128440367,107,0,104,0,0,0,1,,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_partial_hand_bone_length_74gate_v1/temporal_metadata_robustness_gate/fixtures/花/mid_frame_idx_extreme_both_fallback/query.json,单帧极大 frame_idx 不应被排序到动作末尾。
花,adjacent_frame_idx_swap_order_fallback,configured,True,100.0,70.0,0.0,0.0,True,True,29.44954128440367,107,0,106,0,0,0,2,,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_partial_hand_bone_length_74gate_v1/temporal_metadata_robustness_gate/fixtures/花/adjacent_frame_idx_swap_order_fallback/query.json,相邻合法 frame_idx 对调时应保留 record 动作顺序。
花,reverse_frame_idx_order_fallback,configured,True,100.0,70.0,0.0,0.0,True,True,29.44954128440367,107,0,106,0,0,0,53,,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_partial_hand_bone_length_74gate_v1/temporal_metadata_robustness_gate/fixtures/花/reverse_frame_idx_order_fallback/query.json,整段合法 frame_idx 倒序时不应把正确动作倒放。
花,duplicate_frame_idx_order_fallback,configured,True,100.0,70.0,0.0,0.0,True,True,29.44954128440367,107,0,106,0,0,0,53,,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_partial_hand_bone_length_74gate_v1/temporal_metadata_robustness_gate/fixtures/花/duplicate_frame_idx_order_fallback/query.json,重复合法 frame_idx 应恢复为严格递增帧序。
花,all_frame_idx_invalid_order_fallback,configured,True,100.0,70.0,0.0,0.0,True,True,29.44954128440367,107,0,106,0,0,0,53,,work/generated/scoring_mvp_run3/flower_jump_quality_gate_20260604_partial_hand_bone_length_74gate_v1/temporal_metadata_robustness_gate/fixtures/花/all_frame_idx_invalid_order_fallback/query.json,整段 frame_idx 不可用时应按总帧数做顺序保持回退。
