case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,28,100.0,0.0,0.0
subsample_even,target_positive_variant,high,14,92.57275430140184,0.006117531763655799,0.007717531763655798
trim_start_20pct,target_positive_variant,high,22,74.86956066095227,0.012788163764136178,0.028942277778792783
trim_end_20pct,target_positive_variant,high,22,87.01110075604134,0.00475021664585386,0.013913448057601729
middle_60pct,target_positive_variant,high,16,75.69020887165023,0.017538381474358693,0.02785213751035058
amplitude_0.85,target_positive_variant,high,28,92.70733726395083,0.0003120546295706715,0.007572256591259677
amplitude_1.15,target_positive_variant,high,28,93.69323018823086,0.000268355810216495,0.00651442492126572
fake_reverse_time,synthetic_fake_action,low,28,47.635999955183514,0.07415814013094515,0.07415814090231532
fake_shuffle_frames,synthetic_fake_action,low,28,29.0235555068192,0.0404198600186242,0.12370624268494831
fake_static_hold,synthetic_fake_action,low,28,14.111315333517393,0.035819320451645625,0.1958193204516456
fake_random_landmarks,synthetic_fake_action,low,28,0.12183266499990511,0.5222276960100446,0.6710276960100445
fake_random_walk,synthetic_fake_action,low,28,0.0032642067373061315,0.9109234809875488,1.0329908691238718
other_demo_singing_sparse,other_demo_action,low,2,0.21363859155792927,0.158863970211574,0.6148639702115741
other_demo_jump_sparse,other_demo_action,low,2,0.5852126295939591,0.10289502143859863,0.5140950214385986
