word,variant,kind,gated,passed,score,min_score,dtw_distance,normalized_distance,uploaded_weight_min,uploaded_weight_max,scoring_weight_min,scoring_weight_max,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,uniform_1.0,positive,True,True,99.86966174772635,70.0,2.815076988297046e-05,0.0002074117367798508,1.0,1.0,0.8017259836196899,1.6629173755645752,score_valid,score_valid,short_visible_core,query_not_short_core_capture,浏览器未提供有效非均匀权重时，完整骨架仍应可评分。
花,semantic_dynamic_motion_weights,positive,True,True,99.86964857837452,70.0,2.8205399833614468e-05,0.00020746636673049472,0.5968769788742065,2.5678770542144775,0.5968769788742065,2.5678770542144775,score_valid,score_valid,short_visible_core,query_not_short_core_capture,按当前语义 motion energy 生成的浏览器式权重。
花,semantic_dynamic_noisy_15pct,positive,True,True,99.74657595890763,70.0,2.6883817435531512e-05,0.0003854057512292922,0.5120358467102051,2.8473196029663086,0.5542611479759216,2.710984945297241,score_valid,score_valid,short_visible_core,query_not_short_core_capture,浏览器 motion 权重有约 15% 乘性噪声。
花,semantic_dynamic_shift_forward_1,positive,True,True,99.9842590399212,70.0,6.521768197719155e-05,6.521768197719155e-05,0.5968769788742065,2.5678770542144775,0.5993290543556213,2.406651735305786,score_valid,score_valid,short_visible_core,query_not_short_core_capture,上传权重相对骨架轻微错后一帧。
花,semantic_dynamic_shift_backward_1,positive,True,True,99.56952808556842,70.0,0.00012266705859187945,0.0007052652010067404,0.5968769788742065,2.5678770542144775,0.5993289947509766,2.406651496887207,score_valid,score_valid,short_visible_core,query_not_short_core_capture,上传权重相对骨架轻微提前一帧。
花,center_gaussian_emphasis,positive,True,True,99.61669111525866,70.0,0.00043865328163608143,0.0008419904571540621,0.3498242199420929,1.860120415687561,0.47212329506874084,2.1140594482421875,score_valid,score_valid,short_visible_core,query_not_short_core_capture,浏览器把中段高运动区域整体加权。
花,front_loaded_broad_emphasis,positive,True,True,99.2816747671872,70.0,0.0014181252114820295,0.0019671119226037253,0.3491055369377136,1.7186734676361084,0.4816439747810364,1.8433420658111572,score_valid,score_valid,short_visible_core,query_not_short_core_capture,浏览器权重略偏向动作前段，但不是极端尖峰。
花,back_loaded_broad_emphasis,positive,True,True,99.16071140496838,70.0,0.0018271600424513686,0.0024097581848662292,0.3491055369377136,1.7186733484268188,0.4879333972930908,1.5691591501235962,score_valid,score_valid,short_visible_core,query_not_short_core_capture,浏览器权重略偏向动作后段，但不是极端尖峰。
花,inverted_dynamic_diagnostic,diagnostic,False,True,99.34720289351527,,0.0011447775701298219,0.0016937642812515177,0.34966009855270386,1.3149845600128174,0.998465895652771,1.068443775177002,score_valid,score_valid,short_visible_core,query_not_short_core_capture,反向 motion 权重是坏上传先验，只记录诊断边界。
跳,uniform_1.0,positive,True,True,78.07249350585363,70.0,0.044747777301750315,0.05766936111521925,1.0,1.0,0.8505077958106995,1.252523422241211,score_valid,score_valid,action_window_net,used,浏览器未提供有效非均匀权重时，完整骨架仍应可评分。
跳,semantic_dynamic_motion_weights,positive,True,True,99.9852392750995,70.0,3.8540968861939726e-05,3.8540968861939726e-05,0.6310629844665527,1.6500837802886963,0.6688628196716309,1.5927999019622803,score_valid,score_valid,action_window_net,used,按当前语义 motion energy 生成的浏览器式权重。
跳,semantic_dynamic_noisy_15pct,positive,True,True,99.96189736793532,70.0,9.949943536138199e-05,9.949943536138199e-05,0.5159279108047485,1.4768588542938232,0.6062494516372681,1.5022640228271484,score_valid,score_valid,action_window_net,used,浏览器 motion 权重有约 15% 乘性噪声。
跳,semantic_dynamic_shift_forward_1,positive,True,True,77.87984978156344,70.0,0.043830521325239034,0.057767587307475846,0.6310629844665527,1.6500837802886963,0.6717627644538879,1.537509799003601,score_valid,score_valid,action_window_net,used,上传权重相对骨架轻微错后一帧。
跳,semantic_dynamic_shift_backward_1,positive,True,True,78.5453980517561,70.0,0.054016390287659984,0.09612505350613322,0.6310629844665527,1.6500837802886963,0.6739993095397949,1.4883841276168823,score_valid,score_valid,full_sequence_local_relation_segment,used,上传权重相对骨架轻微提前一帧。
跳,center_gaussian_emphasis,positive,True,True,91.99742827714473,70.0,0.01132430047554359,0.018118577366272398,0.3499273359775543,1.8604804277420044,0.5104020237922668,1.7022943496704102,score_valid,score_valid,action_window_net,used,浏览器把中段高运动区域整体加权。
跳,front_loaded_broad_emphasis,positive,True,True,79.21672624023265,70.0,0.0396871003681961,0.05555626303208676,0.3486589789390564,1.7164751291275024,0.5097959041595459,1.500444769859314,score_valid,score_valid,full_sequence_local_relation_segment,used,浏览器权重略偏向动作前段，但不是极端尖峰。
跳,back_loaded_broad_emphasis,positive,True,True,76.29746265418424,70.0,0.04778088221092123,0.06263385755797868,0.3486589789390564,1.716475248336792,0.5217729210853577,1.245945930480957,score_valid,score_valid,action_window_net,used,浏览器权重略偏向动作后段，但不是极端尖峰。
跳,inverted_dynamic_diagnostic,diagnostic,False,True,10.119992771119058,,0.11288110927889934,0.27487886837343906,0.540494441986084,1.4132680892944336,0.9332908987998962,1.0500404834747314,needs_recapture,jump_two_hand_presence_low,,required_presence_penalty_too_high,反向 motion 权重是坏上传先验，只记录诊断边界。
