word,variant,kind,passed,score,threshold,group,pattern,operation,changed_frame_count,wrist_z_abs_min,wrist_z_abs_max,expected_masked,wrist_identity_handling_ok,capture_quality,capture_reason,exception
花,self_reloaded,positive,True,100.0,95.0,,none,none,0,,,False,True,score_valid,score_valid,
花,right_hand_landmarks_rotate_left_1_sparse_masked,positive,True,98.11220412142494,75.0,right_hand_landmarks,sparse_visible,rotate_left_1,6,0.0040302700363099575,0.007195127662271261,True,True,score_valid,score_valid,
花,right_hand_landmarks_rotate_left_1_full_recapture,diagnostic,True,1.1641503183616815,55.0,right_hand_landmarks,full_visible,rotate_left_1,40,0.0021935889963060617,0.011275877244770527,True,True,needs_recapture,flower_core_hand_presence_low,
花,right_hand_landmarks_rotate_left_5_sparse_masked,positive,True,98.11220412142494,75.0,right_hand_landmarks,sparse_visible,rotate_left_5,6,0.006361816078424454,0.021194322034716606,True,True,score_valid,score_valid,
花,right_hand_landmarks_rotate_left_5_full_recapture,diagnostic,True,1.1641503183616815,55.0,right_hand_landmarks,full_visible,rotate_left_5,40,0.001985916867852211,0.02830367349088192,True,True,needs_recapture,flower_core_hand_presence_low,
花,right_hand_landmarks_reverse_sparse_masked,positive,True,98.11220412142494,75.0,right_hand_landmarks,sparse_visible,reverse,6,0.0060587660409510136,0.026035329326987267,True,True,score_valid,score_valid,
花,right_hand_landmarks_reverse_full_recapture,diagnostic,True,1.1641503183616815,55.0,right_hand_landmarks,full_visible,reverse,40,0.0027144982013851404,0.026467202231287956,True,True,needs_recapture,flower_core_hand_presence_low,
花,right_hand_landmarks_swap_wrist_thumb_tip_sparse_masked,positive,True,98.11220412142494,75.0,right_hand_landmarks,sparse_visible,swap_wrist_thumb_tip,6,0.011345822364091873,0.019242065027356148,True,True,score_valid,score_valid,
花,right_hand_landmarks_swap_wrist_thumb_tip_full_recapture,diagnostic,True,1.1641503183616815,55.0,right_hand_landmarks,full_visible,swap_wrist_thumb_tip,40,0.0036919431295245886,0.025201834738254547,True,True,needs_recapture,flower_core_hand_presence_low,
花,right_hand_landmarks_swap_wrist_index_mcp_sparse_masked,positive,True,98.11220412142494,75.0,right_hand_landmarks,sparse_visible,swap_wrist_index_mcp,6,0.006361816078424454,0.021194322034716606,True,True,score_valid,score_valid,
花,right_hand_landmarks_swap_wrist_index_mcp_full_recapture,diagnostic,True,1.1641503183616815,55.0,right_hand_landmarks,full_visible,swap_wrist_index_mcp,40,0.001985916867852211,0.02830367349088192,True,True,needs_recapture,flower_core_hand_presence_low,
花,right_hand_landmarks_adjacent_chain_swap_preserved,positive,True,79.77341295867527,70.0,right_hand_landmarks,full_visible,swap_index_middle_chain,40,1.4127088387994036e-09,1.3571585100180528e-07,False,True,score_valid,score_valid,
跳,self_reloaded,positive,True,100.0,95.0,,none,none,0,,,False,True,score_valid,score_valid,
跳,right_hand_landmarks_rotate_left_1_sparse_masked,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,rotate_left_1,2,0.00018726308189798146,0.0006527399527840316,True,True,score_valid,score_valid,
