case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,19,100.0,0.0,0.0
subsample_even,target_positive_variant,high,10,71.57074845242855,0.030945353420353327,0.04013804839972433
trim_start_20pct,target_positive_variant,high,15,69.76649950928663,0.0320760897180115,0.043201948938742345
trim_end_20pct,target_positive_variant,high,15,52.61822996806467,0.037331346080814974,0.07705290587386177
trim_both_10pct,target_positive_variant,high,15,52.61911689610501,0.0373293233889092,0.07705088318195599
amplitude_0.85,target_positive_variant,high,19,88.17850030427068,0.0033921114298984477,0.015096841609484893
amplitude_1.15,target_positive_variant,high,19,89.26849956399754,0.0033353865266809624,0.013622581053537803
fake_reverse_time,synthetic_fake_action,low,19,8.715038342282128,0.1087077332965271,0.29281441289428695
fake_shuffle_frames,synthetic_fake_action,low,19,29.50111335980516,0.08804266901843724,0.14648906188129762
fake_static_hold,synthetic_fake_action,low,19,45.75874298193249,0.05799198810244857,0.09381447709131324
fake_random_landmarks,synthetic_fake_action,low,19,0.0007350838143378194,1.1837657150106127,1.4184835461753755
fake_random_walk,synthetic_fake_action,low,19,4.9490300169821e-07,1.5786816075103074,2.2948889082879553
other_demo_唱歌,other_demo_action,low,27,6.589155703161935,0.21746347036245284,0.3263693956275381
other_demo_指示,other_demo_action,low,30,3.412929268503996,0.32809368555546986,0.40531190885040974
other_demo_月亮,other_demo_action,low,47,5.861249261740591,0.2791929243491153,0.3404168904626888
other_demo_朋友,other_demo_action,low,28,0.4166375137453493,0.3647093648679308,0.657685067136115
other_demo_汽车,other_demo_action,low,44,1.1953871395964797,0.4918517309036267,0.5312040104256971
other_demo_花,other_demo_action,low,53,33.026657290030634,0.061896020214481935,0.13294261847353742
other_demo_虎,other_demo_action,low,54,5.741873975818569,0.2571872454259159,0.3428861462778082
other_demo_谗_羡慕,other_demo_action,low,32,3.6225892897909264,0.1884009654154916,0.39815773708963464
other_demo_香蕉,other_demo_action,low,42,8.09293692936,0.24813605491629975,0.3017014186486263
