word,variant,kind,gated,passed,score,min_score,axis,degrees,groups,z_delta_min,z_delta_max,changed_frames,changed_visible_points,dtw_distance,normalized_distance,query_length,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,xz,0.0,"left_hand,right_hand",0.0,0.0,40,840,0.0,0.0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
花,both_hands_pitch_xz_neg8deg,positive,True,True,81.42207635089117,70.0,xz,-8.0,"left_hand,right_hand",-0.042993128299713135,0.016474008560180664,40,840,0.028679585366355845,0.029800942518659643,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手围绕手腕做轻微 x-z 出平面俯仰，模拟掌面角度小偏差。
花,both_hands_pitch_xz_pos8deg,positive,True,True,81.42186364045695,70.0,xz,8.0,"left_hand,right_hand",-0.014359712600708008,0.04487478733062744,40,840,0.028681183428127883,0.02980132132321282,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手围绕手腕做轻微反向 x-z 出平面俯仰。
花,both_hands_yaw_yz_neg8deg,positive,True,True,81.42040987136959,70.0,yz,-8.0,"left_hand,right_hand",-0.02666175365447998,0.02743983268737793,40,840,0.028680190862877795,0.02980391028875752,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手围绕手腕做轻微 y-z 出平面侧倾，语义轨迹保持。
花,both_hands_yaw_yz_pos8deg,positive,True,True,81.40749508828347,70.0,yz,8.0,"left_hand,right_hand",-0.02537238597869873,0.02729511260986328,40,840,0.02868006753179183,0.029826911795187025,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手围绕手腕做轻微反向 y-z 出平面侧倾。
花,right_hand_pitch_xz_neg12deg,positive,True,True,81.39950819702759,70.0,xz,-12.0,right_hand,-0.06352066993713379,0.025405049324035645,40,840,0.02868007372418019,0.029841138446493953,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手核心手掌轻中度 x-z 俯仰，覆盖常见手腕前后倾。
花,right_hand_pitch_xz_pos12deg,positive,True,True,81.39618268020892,70.0,xz,12.0,right_hand,-0.02065753936767578,0.06774580478668213,40,840,0.028682403457890245,0.029847062435466545,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手核心手掌轻中度反向 x-z 俯仰。
花,left_hand_yaw_yz_neg12deg,positive,True,True,82.37737653178512,70.0,yz,-12.0,left_hand,,,0,0,0.02705033475196023,0.028109604796383823,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,左手局部 y-z 侧倾，验证双手词的地面手轻微出平面变化。
花,left_hand_yaw_yz_pos12deg,positive,True,True,82.37737653178512,70.0,yz,12.0,left_hand,,,0,0,0.02705033475196023,0.028109604796383823,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,左手局部反向 y-z 侧倾。
花,both_hands_pitch_xz_neg25deg_diagnostic,diagnostic,False,True,81.29157347623092,,xz,-25.0,"left_hand,right_hand",-0.12435394525527954,0.05699265003204346,40,840,0.02868380676541691,0.030033534202311828,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手较强出平面俯仰只记录诊断边界。
花,both_hands_yaw_yz_pos25deg_diagnostic,diagnostic,False,True,81.25103843927607,,yz,25.0,"left_hand,right_hand",-0.07023370265960693,0.08497262001037598,40,840,0.02868472082660672,0.030105854689980064,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,双手较强出平面侧倾只记录诊断边界。
花,right_hand_pitch_xz_pos35deg_diagnostic,diagnostic,False,True,81.17649289428668,,xz,35.0,right_hand,-0.0471729040145874,0.19854891300201416,40,840,0.028693481933456687,0.030238949180718566,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手核心强出平面俯仰可能改变手形语义，只作诊断。
花,right_hand_yaw_yz_neg35deg_diagnostic,diagnostic,False,True,81.16523281552561,,yz,-35.0,right_hand,-0.10530149936676025,0.1336885690689087,40,840,0.028689291204962008,0.03025906368197612,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,右手核心强出平面侧倾可能改变手形语义，只作诊断。
跳,self_recomputed,positive,True,True,100.0,95.0,xz,0.0,"left_hand,right_hand",0.0,0.0,18,693,0.0,0.0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 hand-shape/motion/relation，应保持近满分。
跳,both_hands_pitch_xz_neg8deg,positive,True,True,98.43531064508656,70.0,xz,-8.0,"left_hand,right_hand",-0.0468173623085022,0.08131879568099976,18,693,0.0028376559501826493,0.0036695388596958587,19,semantic_action_window,score_valid,score_valid,action_window_net,used,双手围绕手腕做轻微 x-z 出平面俯仰，模拟掌面角度小偏差。
跳,both_hands_pitch_xz_pos8deg,positive,True,True,98.72469351667719,70.0,xz,8.0,"left_hand,right_hand",-0.07934314012527466,0.048326075077056885,18,693,0.0021757353213439565,0.0029396932166361168,19,semantic_action_window,score_valid,score_valid,action_window_net,used,双手围绕手腕做轻微反向 x-z 出平面俯仰。
跳,both_hands_yaw_yz_neg8deg,positive,True,True,98.36130904824616,70.0,yz,-8.0,"left_hand,right_hand",-0.03587287664413452,0.007558882236480713,18,693,0.003233805653964541,0.003935820358980388,19,semantic_action_window,score_valid,score_valid,action_window_net,used,双手围绕手腕做轻微 y-z 出平面侧倾，语义轨迹保持。
跳,both_hands_yaw_yz_pos8deg,positive,True,True,98.6188880998823,70.0,yz,8.0,"left_hand,right_hand",-0.006500303745269775,0.03774988651275635,18,693,0.0025646093924614646,0.0032577739108293194,19,semantic_action_window,score_valid,score_valid,action_window_net,used,双手围绕手腕做轻微反向 y-z 出平面侧倾。
跳,right_hand_pitch_xz_neg12deg,positive,True,True,98.09318752637962,70.0,xz,-12.0,right_hand,-0.06937387585639954,0.010294079780578613,17,357,0.0038124737288240556,0.004601583687745214,19,semantic_action_window,score_valid,score_valid,action_window_net,used,右手核心手掌轻中度 x-z 俯仰，覆盖常见手腕前后倾。
跳,right_hand_pitch_xz_pos12deg,positive,True,True,98.5887155852232,70.0,xz,12.0,right_hand,-0.005898892879486084,0.07276159524917603,17,357,0.002635860988210445,0.003334641463714769,19,semantic_action_window,score_valid,score_valid,action_window_net,used,右手核心手掌轻中度反向 x-z 俯仰。
跳,left_hand_yaw_yz_neg12deg,positive,True,True,99.17350177594665,70.0,yz,-12.0,left_hand,-0.031286001205444336,0.011710941791534424,16,336,0.0019284735806422409,0.002083408177172744,19,semantic_action_window,score_valid,score_valid,action_window_net,used,左手局部 y-z 侧倾，验证双手词的地面手轻微出平面变化。
跳,left_hand_yaw_yz_pos12deg,positive,True,True,99.15651209033959,70.0,yz,12.0,left_hand,-0.009406805038452148,0.03022623062133789,16,336,0.0019020796369608613,0.0021032455256664523,19,semantic_action_window,score_valid,score_valid,action_window_net,used,左手局部反向 y-z 侧倾。
跳,both_hands_pitch_xz_neg25deg_diagnostic,diagnostic,False,True,93.80933346245887,,xz,-25.0,"left_hand,right_hand",-0.1371956765651703,0.25356408953666687,18,693,0.012304889593829934,0.015151890518140514,19,semantic_action_window,score_valid,score_valid,action_window_net,used,双手较强出平面俯仰只记录诊断边界。
跳,both_hands_yaw_yz_pos25deg_diagnostic,diagnostic,False,True,96.43620992013226,,yz,25.0,"left_hand,right_hand",-0.017072200775146484,0.12081807851791382,18,693,0.00621321184605872,0.008332975493398627,19,semantic_action_window,score_valid,score_valid,action_window_net,used,双手较强出平面侧倾只记录诊断边界。
跳,right_hand_pitch_xz_pos35deg_diagnostic,diagnostic,False,True,96.42116817707205,,xz,35.0,right_hand,-0.009974956512451172,0.21007627248764038,17,357,0.006454736555641346,0.008443981226718739,19,semantic_action_window,score_valid,score_valid,action_window_net,used,右手核心强出平面俯仰可能改变手形语义，只作诊断。
跳,right_hand_yaw_yz_neg35deg_diagnostic,diagnostic,False,True,92.21181558529736,,yz,-35.0,right_hand,-0.13427135348320007,0.0,17,357,0.01669328013838804,0.01960270479390066,19,semantic_action_window,score_valid,score_valid,action_window_net,used,右手核心强出平面侧倾可能改变手形语义，只作诊断。
