word,variant,kind,gated,passed,score,min_score,max_score,expected_quality_statuses,dtw_distance,normalized_distance,result_finite,vector_nonfinite,mask_nonfinite,zero_mask_values,pattern,active_frame_count,changed_values,skipped_values,total_records,fixture_json,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,exception,rationale
花,self_reloaded,positive,True,True,100.0,95.0,,,0.0,0.0,True,0,0,5478,none,0,0,0,53,work/generated/scoring_mvp_run3/flower_jump_bounded_coordinate_robustness_gate_20260604_tiny_span_v1/fixtures/花/self_reloaded.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,原始标准 JSON 经正常 load_sequence 重载，应保持近满分且所有距离有限。
花,face_core_sparse_out_of_frame,positive,True,True,100.0,70.0,,,0.0,0.0,True,0,0,5562,sparse_every_7f,7,28,0,53,work/generated/scoring_mvp_run3/flower_jump_bounded_coordinate_robustness_gate_20260604_tiny_span_v1/fixtures/花/face_core_sparse_out_of_frame.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,face core 稀疏有限越界点应被视为缺失，不能污染手部语义评分。
花,face_core_sparse_z_outlier,positive,True,True,100.0,70.0,,,0.0,0.0,True,0,0,5562,sparse_every_7f,7,28,0,53,work/generated/scoring_mvp_run3/flower_jump_bounded_coordinate_robustness_gate_20260604_tiny_span_v1/fixtures/花/face_core_sparse_z_outlier.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,face core 稀疏有限 z 离群点应被视为缺失，不能污染手部语义评分。
花,face_core_sparse_zero_placeholder,positive,True,True,100.0,70.0,,,0.0,0.0,True,0,0,5562,sparse_every_7f,7,84,0,53,work/generated/scoring_mvp_run3/flower_jump_bounded_coordinate_robustness_gate_20260604_tiny_span_v1/fixtures/花/face_core_sparse_zero_placeholder.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,face core 稀疏 exact-zero 占位点应被视为缺失，不能污染手部语义评分。
花,flower_right_index_tip_single_out_of_frame,positive,True,True,99.94694281766942,70.0,,,0.00012606970988615396,0.00015889864224556265,True,0,0,5487,single_mid,1,1,0,53,work/generated/scoring_mvp_run3/flower_jump_bounded_coordinate_robustness_gate_20260604_tiny_span_v1/fixtures/花/flower_right_index_tip_single_out_of_frame.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,开花核心手单帧 index tip 有限越界应按该点缺失处理，完整开合证据仍应保留。
花,flower_right_index_middle_tip_single_z_outlier,positive,True,True,99.76747997623124,70.0,,,0.00022047119247239005,0.00048085289356794613,True,0,0,5494,single_mid,1,2,0,53,work/generated/scoring_mvp_run3/flower_jump_bounded_coordinate_robustness_gate_20260604_tiny_span_v1/fixtures/花/flower_right_index_middle_tip_single_z_outlier.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,开花核心手单帧 index/middle tip 有限 z 离群应按局部缺失处理，不能把正确开合动作打成低分。
花,flower_right_index_middle_tip_single_zero_placeholder,positive,True,True,99.76747997623124,70.0,,,0.00022047119247239005,0.00048085289356794613,True,0,0,5494,single_mid,1,6,0,53,work/generated/scoring_mvp_run3/flower_jump_bounded_coordinate_robustness_gate_20260604_tiny_span_v1/fixtures/花/flower_right_index_middle_tip_single_zero_placeholder.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,开花核心手单帧 index/middle tip exact-zero 占位点应按局部缺失处理。
花,flower_right_outer_tips_sparse_out_of_frame,positive,True,True,99.31233788832027,70.0,,,0.001159659394492539,0.0017543328410047233,True,0,0,5583,sparse_every_5f,10,28,12,53,work/generated/scoring_mvp_run3/flower_jump_bounded_coordinate_robustness_gate_20260604_tiny_span_v1/fixtures/花/flower_right_outer_tips_sparse_out_of_frame.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,开花 ring/pinky 外侧指尖稀疏有限越界，应被局部 mask 掉。
花,flower_right_outer_tips_sparse_z_outlier,positive,True,True,99.31233788832027,70.0,,,0.001159659394492539,0.0017543328410047233,True,0,0,5583,sparse_every_5f,10,14,6,53,work/generated/scoring_mvp_run3/flower_jump_bounded_coordinate_robustness_gate_20260604_tiny_span_v1/fixtures/花/flower_right_outer_tips_sparse_z_outlier.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,开花 ring/pinky 外侧指尖稀疏有限 z 离群，应被局部 mask 掉。
花,flower_right_outer_tips_sparse_zero_placeholder,positive,True,True,99.31233788832027,70.0,,,0.001159659394492539,0.0017543328410047233,True,0,0,5583,sparse_every_5f,10,42,18,53,work/generated/scoring_mvp_run3/flower_jump_bounded_coordinate_robustness_gate_20260604_tiny_span_v1/fixtures/花/flower_right_outer_tips_sparse_zero_placeholder.json,score_valid,score_valid,short_visible_core,query_not_short_core_capture,,开花 ring/pinky 外侧指尖稀疏 exact-zero 占位点，应被局部 mask 掉。
