request_id,target_word,old_score,new_score,delta,new_norm,new_dtw,alignment_mode,used_action_window,standard_full_length,query_full_length,query_json,standard_json,error
web_20260523_024037_ff5b3fb5,跳,9.784524923598282,3.1850758022073724,-6.59944912139091,0.6204049375492866,0.3613891436821374,semantic_action_window,True,19,30,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_024037_ff5b3fb5/holistic/user_跳_web_20260523_024037_ff5b3fb5_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/跳/跳_holistic_results.json,
web_20260523_024025_9c6cf572,跳,6.794082087415271,2.77572446243119,-4.0183576249840804,0.6451665129574422,0.33257806373030646,semantic_action_window,True,19,30,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_024025_9c6cf572/holistic/user_跳_web_20260523_024025_9c6cf572_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/跳/跳_holistic_results.json,
web_20260523_024000_dd35e1bb,跳,8.24564551165642,2.394037367340646,-5.851608144315774,0.6717940146408579,0.3980003893981693,semantic_action_window,True,19,30,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_024000_dd35e1bb/holistic/user_跳_web_20260523_024000_dd35e1bb_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/跳/跳_holistic_results.json,
web_20260523_023830_033d7664,花,70.32694092754284,53.209130517636716,-17.11781040990612,0.07571282137142753,0.03040647890645058,full_sequence_with_action_window_diagnostics,False,53,30,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_023830_033d7664/holistic/user_花_web_20260523_023830_033d7664_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,
web_20260523_023814_169a471d,花,73.35368954623446,57.609657942644674,-15.74403160358979,0.06617759516716425,0.030684225988925683,full_sequence_with_action_window_diagnostics,False,53,30,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_023814_169a471d/holistic/user_花_web_20260523_023814_169a471d_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,
web_20260523_023751_844be9b0,花,27.576015139176036,21.752210333247746,-5.82380480592829,0.18305457709196182,0.028771307870641954,full_sequence_with_action_window_diagnostics,False,53,15,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_023751_844be9b0/holistic/user_花_web_20260523_023751_844be9b0_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,
web_20260523_023729_fe2e847d,花,27.805387851562084,21.718165811167985,-6.087222040394099,0.1832425369785405,0.028658986166477683,full_sequence_with_action_window_diagnostics,False,53,15,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_023729_fe2e847d/holistic/user_花_web_20260523_023729_fe2e847d_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,
web_20260523_023716_bb545221,花,26.73682542986098,20.50337579693856,-6.233449632922419,0.1901496768455339,0.02833737950657,full_sequence_with_action_window_diagnostics,False,53,15,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_023716_bb545221/holistic/user_花_web_20260523_023716_bb545221_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,
web_20260523_023452_bd691c4f,花,81.68481514826072,72.76476826501536,-8.920046883245362,0.038152596039821594,0.01917203145611522,full_sequence_with_action_window_diagnostics,False,53,53,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_023452_bd691c4f/holistic/user_花_web_20260523_023452_bd691c4f_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,
web_20260523_022509_a44cb853,跳,18.945522983315495,10.084864062983067,-8.860658920332428,0.41294420888433414,0.23618049347778183,semantic_action_window,True,19,30,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_022509_a44cb853/holistic/user_跳_web_20260523_022509_a44cb853_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/跳/跳_holistic_results.json,
