target_word,request_id,old_score,new_score_action_window_step2,normalized_distance,dtw_distance,score_scale,query_frames,query_action_length,standard_action_length,query_action_start,query_action_end,left_hand_presence,right_hand_presence,query_json
花,web_20260522_222243_a23d679c,57.392243184382174,17.63853547307839,0.20821009943090044,0.019999999999999997,0.12,12,15,15,6,11,0.0,0.75,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_222243_a23d679c/holistic/user_花_web_20260522_222243_a23d679c_holistic_results.json
花,web_20260522_225356_550e19fe,29.99669147386167,12.355170190110051,0.25093146859723225,0.019999999999999997,0.12,15,15,15,9,14,0.0,0.6666666666666666,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225356_550e19fe/holistic/user_花_web_20260522_225356_550e19fe_holistic_results.json
花,web_20260522_225823_46498d30,23.613415847637633,11.543333195031959,0.2590874553867517,0.01595528486389803,0.12,15,15,15,8,13,0.0,0.4666666666666667,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225823_46498d30/holistic/user_花_web_20260522_225823_46498d30_holistic_results.json
花,web_20260522_225845_b21e0f2e,20.14634694742057,24.6967253312226,0.1678199434591984,0.02,0.12,15,15,15,6,11,0.0,0.7333333333333333,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225845_b21e0f2e/holistic/user_花_web_20260522_225845_b21e0f2e_holistic_results.json
花,web_20260522_225852_a9aa43d6,13.545388114338172,11.465725102211724,0.2598969632193036,0.02,0.12,15,15,15,9,14,0.0,0.8,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225852_a9aa43d6/holistic/user_花_web_20260522_225852_a9aa43d6_holistic_results.json
花,web_20260522_231259_51a8c719,8.367694979597621,11.573658841502448,0.2587726151464458,0.016439820656493163,0.12,6,15,15,2,5,0.0,0.5,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_231259_51a8c719/holistic/user_花_web_20260522_231259_51a8c719_holistic_results.json
花,web_20260522_231304_9e8827a4,30.359517792715216,11.427545841683356,0.26029721318988014,0.019999999999999997,0.12,15,15,15,9,14,0.0,0.7333333333333333,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_231304_9e8827a4/holistic/user_花_web_20260522_231304_9e8827a4_holistic_results.json
花,web_20260522_232244_45d260ed,19.83783824974596,66.39197906427077,0.04915127208325361,0.019999999999999997,0.12,30,10,15,11,20,0.0,0.6333333333333333,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232244_45d260ed/holistic/user_花_web_20260522_232244_45d260ed_holistic_results.json
花,web_20260522_232256_781c0807,16.631682986313653,63.97995870739721,0.053592035623864,0.02,0.12,30,8,15,9,16,0.0,0.7,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232256_781c0807/holistic/user_花_web_20260522_232256_781c0807_holistic_results.json
花,web_20260522_232319_7e3cc881,22.22132070890977,57.26354077420036,0.06690072617362036,0.018916882448984366,0.12,72,20,15,16,35,0.0,0.75,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232319_7e3cc881/holistic/user_花_web_20260522_232319_7e3cc881_holistic_results.json
花,web_20260522_232339_70e4794b,15.963775766074415,56.84596195710344,0.06777899977111009,0.014324012793465074,0.12,30,8,15,6,13,0.0,0.7666666666666667,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232339_70e4794b/holistic/user_花_web_20260522_232339_70e4794b_holistic_results.json
花,web_20260522_232406_cac18708,15.171965001183638,51.97000191415494,0.07854042241629844,0.02,0.12,30,8,15,22,29,0.0,0.8333333333333334,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232406_cac18708/holistic/user_花_web_20260522_232406_cac18708_holistic_results.json
花,web_20260522_232420_60da4112,27.86794013647761,19.770983527489665,0.19451457618731446,0.019999999999999993,0.12,15,15,15,5,10,0.0,0.6666666666666666,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232420_60da4112/holistic/user_花_web_20260522_232420_60da4112_holistic_results.json
花,web_20260522_232642_fe440fb9,30.09345557585741,10.48822269183622,0.27059006480874037,0.019999999999999997,0.12,15,15,15,9,14,0.0,0.6666666666666666,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232642_fe440fb9/holistic/user_花_web_20260522_232642_fe440fb9_holistic_results.json
