word,variant,kind,passed,score,threshold,group,pattern,operation,changed_frame_count,observed_counts,cardinality_masked,capture_quality,capture_reason,exception
花,self_reloaded,positive,True,100.0,95.0,,none,none,0,[],True,score_valid,score_valid,
花,right_hand_drop_first_sparse_masked,positive,True,97.5870782073686,75.0,right_hand_landmarks,sparse_visible,drop_first,8,[20],True,score_valid,score_valid,
花,pose_drop_first_sparse_masked,positive,False,45.0,75.0,pose_landmarks,sparse_visible,drop_first,11,[32],True,semantic_mismatch,phase_order_disorder,
花,pose_drop_first_full_hand_fallback,positive,True,78.03918597890197,70.0,pose_landmarks,full_visible,drop_first,53,[32],True,score_valid,score_valid,
花,right_hand_drop_first_full_recapture,diagnostic,True,1.1641503183616815,55.0,right_hand_landmarks,full_visible,drop_first,40,[20],True,needs_recapture,flower_core_hand_presence_low,
花,right_hand_drop_middle_sparse_masked,positive,True,97.5870782073686,75.0,right_hand_landmarks,sparse_visible,drop_middle,8,[20],True,score_valid,score_valid,
花,pose_drop_middle_sparse_masked,positive,False,45.0,75.0,pose_landmarks,sparse_visible,drop_middle,11,[32],True,semantic_mismatch,phase_order_disorder,
花,pose_drop_middle_full_hand_fallback,positive,True,78.03918597890197,70.0,pose_landmarks,full_visible,drop_middle,53,[32],True,score_valid,score_valid,
花,right_hand_drop_middle_full_recapture,diagnostic,True,1.1641503183616815,55.0,right_hand_landmarks,full_visible,drop_middle,40,[20],True,needs_recapture,flower_core_hand_presence_low,
花,right_hand_insert_first_sparse_masked,positive,True,97.5870782073686,75.0,right_hand_landmarks,sparse_visible,insert_first,8,[22],True,score_valid,score_valid,
花,pose_insert_first_sparse_masked,positive,False,45.0,75.0,pose_landmarks,sparse_visible,insert_first,11,[34],True,semantic_mismatch,phase_order_disorder,
花,pose_insert_first_full_hand_fallback,positive,True,78.03918597890197,70.0,pose_landmarks,full_visible,insert_first,53,[34],True,score_valid,score_valid,
花,right_hand_insert_first_full_recapture,diagnostic,True,1.1641503183616815,55.0,right_hand_landmarks,full_visible,insert_first,40,[22],True,needs_recapture,flower_core_hand_presence_low,
花,right_hand_append_extra_sparse_masked,positive,True,97.5870782073686,75.0,right_hand_landmarks,sparse_visible,append_extra,8,[22],True,score_valid,score_valid,
花,pose_append_extra_sparse_masked,positive,False,45.0,75.0,pose_landmarks,sparse_visible,append_extra,11,[34],True,semantic_mismatch,phase_order_disorder,
花,pose_append_extra_full_hand_fallback,positive,True,78.03918597890197,70.0,pose_landmarks,full_visible,append_extra,53,[34],True,score_valid,score_valid,
花,right_hand_append_extra_full_recapture,diagnostic,True,1.1641503183616815,55.0,right_hand_landmarks,full_visible,append_extra,40,[22],True,needs_recapture,flower_core_hand_presence_low,
花,face_insert_first_sparse_masked,positive,True,100.0,95.0,face_landmarks,sparse_visible,insert_first,11,[479],True,score_valid,score_valid,
花,face_insert_first_full_masked,positive,True,100.0,95.0,face_landmarks,full_visible,insert_first,53,[479],True,score_valid,score_valid,
花,face_drop_middle_sparse_masked,positive,True,100.0,95.0,face_landmarks,sparse_visible,drop_middle,11,[477],True,score_valid,score_valid,
花,face_drop_middle_full_masked,positive,True,100.0,95.0,face_landmarks,full_visible,drop_middle,53,[477],True,score_valid,score_valid,
跳,self_reloaded,positive,True,100.0,95.0,,none,none,0,[],True,score_valid,score_valid,
跳,right_hand_drop_first_sparse_masked,positive,True,81.95782774824136,75.0,right_hand_landmarks,sparse_visible,drop_first,3,[20],True,score_valid,score_valid,
跳,pose_drop_first_sparse_masked,positive,True,76.04196074035116,75.0,pose_landmarks,sparse_visible,drop_first,4,[32],True,score_valid,score_valid,
跳,pose_drop_first_full_hand_fallback,positive,True,78.9347924729462,70.0,pose_landmarks,full_visible,drop_first,19,[32],True,score_valid,score_valid,
跳,right_hand_drop_first_full_recapture,diagnostic,True,0.23617115289684296,55.0,right_hand_landmarks,full_visible,drop_first,17,[20],True,needs_recapture,jump_two_hand_presence_low,
跳,right_hand_drop_middle_sparse_masked,positive,True,81.95782774824136,75.0,right_hand_landmarks,sparse_visible,drop_middle,3,[20],True,score_valid,score_valid,
跳,pose_drop_middle_sparse_masked,positive,True,76.04196074035116,75.0,pose_landmarks,sparse_visible,drop_middle,4,[32],True,score_valid,score_valid,
跳,pose_drop_middle_full_hand_fallback,positive,True,78.9347924729462,70.0,pose_landmarks,full_visible,drop_middle,19,[32],True,score_valid,score_valid,
跳,right_hand_drop_middle_full_recapture,diagnostic,True,0.23617115289684296,55.0,right_hand_landmarks,full_visible,drop_middle,17,[20],True,needs_recapture,jump_two_hand_presence_low,
跳,right_hand_insert_first_sparse_masked,positive,True,81.95782774824136,75.0,right_hand_landmarks,sparse_visible,insert_first,3,[22],True,score_valid,score_valid,
跳,pose_insert_first_sparse_masked,positive,True,76.04196074035116,75.0,pose_landmarks,sparse_visible,insert_first,4,[34],True,score_valid,score_valid,
跳,pose_insert_first_full_hand_fallback,positive,True,78.9347924729462,70.0,pose_landmarks,full_visible,insert_first,19,[34],True,score_valid,score_valid,
跳,right_hand_insert_first_full_recapture,diagnostic,True,0.23617115289684296,55.0,right_hand_landmarks,full_visible,insert_first,17,[22],True,needs_recapture,jump_two_hand_presence_low,
跳,right_hand_append_extra_sparse_masked,positive,True,81.95782774824136,75.0,right_hand_landmarks,sparse_visible,append_extra,3,[22],True,score_valid,score_valid,
跳,pose_append_extra_sparse_masked,positive,True,76.04196074035116,75.0,pose_landmarks,sparse_visible,append_extra,4,[34],True,score_valid,score_valid,
跳,pose_append_extra_full_hand_fallback,positive,True,78.9347924729462,70.0,pose_landmarks,full_visible,append_extra,19,[34],True,score_valid,score_valid,
跳,right_hand_append_extra_full_recapture,diagnostic,True,0.23617115289684296,55.0,right_hand_landmarks,full_visible,append_extra,17,[22],True,needs_recapture,jump_two_hand_presence_low,
跳,face_insert_first_sparse_masked,positive,True,100.0,95.0,face_landmarks,sparse_visible,insert_first,4,[479],True,score_valid,score_valid,
跳,face_insert_first_full_masked,positive,True,100.0,95.0,face_landmarks,full_visible,insert_first,19,[479],True,score_valid,score_valid,
跳,face_drop_middle_sparse_masked,positive,True,100.0,95.0,face_landmarks,sparse_visible,drop_middle,4,[477],True,score_valid,score_valid,
跳,face_drop_middle_full_masked,positive,True,100.0,95.0,face_landmarks,full_visible,drop_middle,19,[477],True,score_valid,score_valid,
跳,left_hand_drop_first_sparse_masked,positive,True,78.92235264645464,75.0,left_hand_landmarks,sparse_visible,drop_first,3,[20],True,score_valid,score_valid,
跳,left_hand_drop_first_full_recapture,diagnostic,True,2.1609837573499253,55.0,left_hand_landmarks,full_visible,drop_first,16,[20],True,needs_recapture,jump_two_hand_presence_low,
跳,left_hand_drop_middle_sparse_masked,positive,True,78.92235264645464,75.0,left_hand_landmarks,sparse_visible,drop_middle,3,[20],True,score_valid,score_valid,
跳,left_hand_drop_middle_full_recapture,diagnostic,True,2.1609837573499253,55.0,left_hand_landmarks,full_visible,drop_middle,16,[20],True,needs_recapture,jump_two_hand_presence_low,
跳,left_hand_insert_first_sparse_masked,positive,True,78.92235264645464,75.0,left_hand_landmarks,sparse_visible,insert_first,3,[22],True,score_valid,score_valid,
跳,left_hand_insert_first_full_recapture,diagnostic,True,2.1609837573499253,55.0,left_hand_landmarks,full_visible,insert_first,16,[22],True,needs_recapture,jump_two_hand_presence_low,
跳,left_hand_append_extra_sparse_masked,positive,True,78.92235264645464,75.0,left_hand_landmarks,sparse_visible,append_extra,3,[22],True,score_valid,score_valid,
跳,left_hand_append_extra_full_recapture,diagnostic,True,2.1609837573499253,55.0,left_hand_landmarks,full_visible,append_extra,16,[22],True,needs_recapture,jump_two_hand_presence_low,
