word,variant,kind,gated,passed,score,min_score,group,fingers,landmarks,scale,pattern,active_frame_count,changed_frames,attenuated_points,skipped_points,total_frames,left_hand_presence,right_hand_presence,mean_left_hand_mask,mean_right_hand_mask,mean_left_shape_mask,mean_right_shape_mask,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self_recomputed,positive,True,True,100.0,95.0,right_hand,[],[],1.0,none,0,0,0,0,53,0.0,0.7547169811320755,0.0,0.7547169811320755,0.0,0.7547169811320755,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,标准序列剥离基础组后重建 motion/relation，应保持近满分。
花,flower_right_all_fingers_confidence_0p85_full,positive,True,True,99.99999985117303,70.0,right_hand,"['thumb', 'index', 'middle', 'ring', 'pinky']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.85,full,53,40,800,260,53,0.0,0.7547169811320755,0.0,0.6469001410142431,0.0,0.7547169811320755,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心手所有手指链全程轻度低置信，但坐标完整。
花,flower_right_all_fingers_confidence_0p65_middle20,positive,True,True,100.0,70.0,right_hand,"['thumb', 'index', 'middle', 'ring', 'pinky']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.65,middle_20pct,11,11,220,0,53,0.0,0.7547169811320755,0.0,0.6855346324308863,0.0,0.7547169811320755,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花核心窗口所有手指链中度低置信，仍高于有效阈值。
花,flower_right_outer_fingers_confidence_0p55_sparse,positive,True,True,100.0,70.0,right_hand,"['ring', 'pinky']","[13, 14, 15, 16, 17, 18, 19, 20]",0.55,sparse_every_5f,10,7,56,24,53,0.0,0.7547169811320755,0.0,0.7320754651753407,0.0,0.7547169811320755,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花 ring/pinky 指链稀疏帧 near-threshold 低置信，完整绽放证据仍应保留。
花,flower_right_index_middle_confidence_0p55_single_mid,positive,True,True,100.0,70.0,right_hand,"['index', 'middle']","[5, 6, 7, 8, 9, 10, 11, 12]",0.55,single_mid,1,1,8,0,53,0.0,0.7547169811320755,0.0,0.7514824788525419,0.0,0.7547169811320755,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,开花 index/middle 指链单帧 near-threshold 低置信，模拟瞬时手指置信跳变。
花,flower_right_all_fingers_confidence_0p51_middle35_diagnostic,diagnostic,False,True,100.0,,right_hand,"['thumb', 'index', 'middle', 'ring', 'pinky']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.51,middle_35pct,19,19,380,0,53,0.0,0.7547169811320755,0.0,0.5874213508839877,0.0,0.7547169811320755,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,诊断记录：开花核心手所有手指链较长窗口接近有效阈值时的边界分。
跳,self_recomputed,positive,True,True,100.0,95.0,right_hand,[],[],1.0,none,0,0,0,0,19,0.8421052631578947,0.8947368421052632,0.8421052631578947,0.8947368421052632,0.8421052631578947,0.8947368421052632,semantic_action_window,score_valid,score_valid,action_window_net,used,标准序列剥离基础组后重建 motion/relation，应保持近满分。
跳,jump_right_person_fingers_confidence_0p85_full,positive,True,True,99.99999991564539,70.0,right_hand,"['index', 'middle']","[5, 6, 7, 8, 9, 10, 11, 12]",0.85,full,19,17,136,16,19,0.8421052631578947,0.8947368421052632,0.8421052631578947,0.8436090256038465,0.8421052631578947,0.8947368421052632,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手两指小人 index/middle 全程轻度低置信，双手关系和坐标仍完整。
跳,jump_right_person_fingers_confidence_0p65_full,positive,True,True,99.99999993595496,70.0,right_hand,"['index', 'middle']","[5, 6, 7, 8, 9, 10, 11, 12]",0.65,full,19,17,136,16,19,0.8421052631578947,0.8947368421052632,0.8421052631578947,0.775438550271486,0.8421052631578947,0.8947368421052632,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手两指小人全程中度低置信，仍高于关系/手形有效阈值。
跳,jump_right_person_fingers_confidence_0p55_sparse,positive,True,True,100.0,70.0,right_hand,"['index', 'middle']","[5, 6, 7, 8, 9, 10, 11, 12]",0.55,sparse_every_5f,4,4,32,0,19,0.8421052631578947,0.8947368421052632,0.8421052631578947,0.8586466061441522,0.8421052631578947,0.8947368421052632,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的右手两指小人稀疏帧 near-threshold 低置信，跳跃轨迹仍应保留。
跳,jump_left_ground_fingers_confidence_0p65_middle20,positive,True,True,99.98712649449295,70.0,left_hand,"['thumb', 'index', 'middle', 'ring', 'pinky']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.65,middle_20pct,3,3,60,0,19,0.8421052631578947,0.8947368421052632,0.789473715581392,0.8947368421052632,0.8421052631578947,0.8947368421052632,semantic_action_window,score_valid,score_valid,action_window_net,used,跳的左手地面手核心短窗口手指链中度低置信，右手小人和双手关系仍应稳定。
跳,jump_right_person_fingers_confidence_0p51_middle35_diagnostic,diagnostic,False,True,99.99999995797468,,right_hand,"['index', 'middle']","[5, 6, 7, 8, 9, 10, 11, 12]",0.51,middle_35pct,7,7,56,0,19,0.8421052631578947,0.8947368421052632,0.8421052631578947,0.8259648900283011,0.8421052631578947,0.8947368421052632,semantic_action_window,score_valid,score_valid,action_window_net,used,诊断记录：右手两指小人较长窗口接近有效阈值时的边界分。
