request_id,generated_at,target_word,frame_count,timeline_frame_count,capture_fps,old_score,old_band,standard_json,saved_standard_json,standard_source,query_json,error,new_score,new_band,score_delta,dtw_distance,normalized_distance,alignment_mode,score_scale_reason,query_left_hand_presence,query_right_hand_presence,query_pose_presence,query_face_presence,query_hand_presence_max
web_20260522_222243_a23d679c,2026-05-22T22:22:43,花,12,,3.6811926605504586,57.392243184382174,low,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_222243_a23d679c/holistic/user_花_web_20260522_222243_a23d679c_holistic_results.json,,74.85431844234562,borderline,17.46207525796344,0.0322160611081943,0.09606069103805283,full_sequence_with_action_window_diagnostics,flower_short_visible_core_semantic_floor,0.0,0.75,1.0,1.0,0.75
web_20260522_225356_550e19fe,2026-05-22T22:53:57,花,15,,5.0,29.99669147386167,low,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225356_550e19fe/holistic/user_花_web_20260522_225356_550e19fe_holistic_results.json,,78.24233824421282,normal_like,48.245646770351144,0.03328205583175445,0.03650833449687614,full_sequence_with_action_window_diagnostics,flower_short_visible_core_semantic_floor,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666
web_20260522_225823_46498d30,2026-05-22T22:58:24,花,15,,5.0,23.613415847637633,low,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225823_46498d30/holistic/user_花_web_20260522_225823_46498d30_holistic_results.json,,77.9730022213811,normal_like,54.35958637374346,0.02698383051940218,0.052556280741820824,full_sequence_with_action_window_diagnostics,flower_short_visible_core_semantic_floor,0.0,0.4666666666666667,1.0,1.0,0.4666666666666667
web_20260522_225845_b21e0f2e,2026-05-22T22:58:46,花,15,,5.0,20.14634694742057,low,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225845_b21e0f2e/holistic/user_花_web_20260522_225845_b21e0f2e_holistic_results.json,,77.61247852053683,normal_like,57.46613157311626,0.031187017641702112,0.036749085077212945,full_sequence_with_action_window_diagnostics,visible_semantic_core_scale,0.0,0.7333333333333333,1.0,1.0,0.7333333333333333
web_20260522_225852_a9aa43d6,2026-05-22T22:58:53,花,15,,5.0,13.545388114338172,low,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225852_a9aa43d6/holistic/user_花_web_20260522_225852_a9aa43d6_holistic_results.json,,78.66210883830772,normal_like,65.11672072396955,0.031864969683312705,0.034801248421750926,full_sequence_with_action_window_diagnostics,visible_semantic_core_scale,0.0,0.8,1.0,1.0,0.8
web_20260522_231259_51a8c719,2026-05-22T23:13:00,花,6,,2.4541284403669725,8.367694979597621,low,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_231259_51a8c719/holistic/user_花_web_20260522_231259_51a8c719_holistic_results.json,,20.468106972978966,low,12.100411993381345,0.03165581203751403,0.19035627224479185,full_sequence_with_action_window_diagnostics,default,0.0,0.5,1.0,1.0,0.5
web_20260522_231304_9e8827a4,2026-05-22T23:13:05,花,15,,5.0,30.359517792715216,low,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_231304_9e8827a4/holistic/user_花_web_20260522_231304_9e8827a4_holistic_results.json,,78.41080676662574,normal_like,48.05128897391052,0.03318627300397156,0.042290080831184185,full_sequence_with_action_window_diagnostics,flower_short_visible_core_semantic_floor,0.0,0.7333333333333333,1.0,1.0,0.7333333333333333
web_20260522_232244_45d260ed,2026-05-22T23:22:46,花,30,,10.0,19.83783824974596,low,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232244_45d260ed/holistic/user_花_web_20260522_232244_45d260ed_holistic_results.json,,48.531456318512966,low,28.693618068767005,0.02930732380997729,0.08675496172769007,full_sequence_with_action_window_diagnostics,default,0.0,0.6333333333333333,1.0,1.0,0.6333333333333333
web_20260522_232256_781c0807,2026-05-22T23:22:58,花,30,,10.0,16.631682986313653,low,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232256_781c0807/holistic/user_花_web_20260522_232256_781c0807_holistic_results.json,,79.8183945734389,normal_like,63.186711587125245,0.030397255986824166,0.03268534895015375,full_sequence_with_action_window_diagnostics,visible_semantic_core_scale,0.0,0.7,1.0,1.0,0.7
web_20260522_232319_7e3cc881,2026-05-22T23:23:24,花,72,,24.0,22.22132070890977,low,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,template_root,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232319_7e3cc881/holistic/user_花_web_20260522_232319_7e3cc881_holistic_results.json,,76.45603789336646,normal_like,54.234717184456684,0.030121717518165336,0.03892587036816641,full_sequence_with_action_window_diagnostics,visible_semantic_core_scale,0.0,0.75,1.0,1.0,0.75
