word,variant,kind,gated,passed,score,min_score,dtw_distance,normalized_distance,query_length,alignment_mode,capture_quality_status,capture_quality_reason,semantic_floor_source,semantic_floor_reason,rationale
花,self,positive,True,True,100.0,95.0,0.0,0.0,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,同一骨架重算基线。
花,global_z_offset_pos_0.10,positive,True,True,81.45694017283763,70.0,0.02867959612560351,0.029738868786053273,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,整个人的 Holistic z 坐标出现轻微正向漂移。
花,global_z_offset_neg_0.10,positive,True,True,81.45694181971487,70.0,0.02867959614988588,0.02973886585447745,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,整个人的 Holistic z 坐标出现轻微负向漂移。
花,global_z_scale_0.50,positive,True,True,73.92305318852812,70.0,0.028755127560819965,0.0438110910547916,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,整体深度动态被压缩到一半。
花,global_z_scale_2.00,positive,True,True,75.64448471950242,70.0,0.02909531552805315,0.04047321977771787,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,整体深度动态被放大到两倍。
花,hand_z_scale_0.75,positive,True,True,79.1357707834577,70.0,0.02869683500668467,0.03393075271561013,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,手部深度动态略收缩，并重算手形特征。
花,hand_z_scale_1.50,positive,True,True,78.24104909555963,70.0,0.02885809286369943,0.03557948399154781,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,手部深度动态略放大，并重算手形特征。
花,global_z_noise_0.10_diagnostic,diagnostic,False,True,24.15796182259985,,0.03063861395588971,0.17046674137529738,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,中等逐点 z 噪声会改变重算后的局部手形，只记录诊断边界。
花,hand_z_noise_0.10_diagnostic,diagnostic,False,True,23.732758349413448,,0.030435554537132575,0.17259766600587634,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,中等手部逐点 z 噪声会破坏局部手形，只记录诊断边界。
花,global_z_noise_0.20_diagnostic,diagnostic,False,True,14.68865052704027,,0.0304588202176447,0.23017140760748506,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,强整体 z 噪声，只记录诊断边界。
花,hand_z_noise_0.20_diagnostic,diagnostic,False,True,13.117406671425453,,0.03051135891398879,0.24374761010985807,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,强手部 z 噪声会破坏局部手形，只记录诊断边界。
花,global_z_scale_0.25_diagnostic,diagnostic,False,True,55.18965374781435,,0.028832010247045542,0.08618722894472973,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,极端深度压缩，只记录诊断边界。
花,global_z_scale_3.00_diagnostic,diagnostic,False,True,55.84549177874343,,0.029227283874396496,0.08447430066501706,53,full_sequence_with_action_window_diagnostics,score_valid,score_valid,short_visible_core,query_not_short_core_capture,极端深度放大，只记录诊断边界。
跳,self,positive,True,True,100.0,95.0,0.0,0.0,19,semantic_action_window,score_valid,score_valid,action_window_net,used,同一骨架重算基线。
