request_id,generated_at,frame_count,score,band,dtw_distance,normalized_distance,scale_reason,floor_used,floor_reason,semantic_floor_score,left_presence,right_presence,two_hand_presence,required_presence_penalty,right_hand_distance,right_hand_shape_distance,two_hand_relation_distance,direction_cosine,vertical_score,amplitude_ratio,horizontal_to_vertical,standard_json,query_json,diagnosis
web_20260523_001048_5bcb9948,2026-05-23T00:10:49,15,65.90245954338639,borderline,0.36259118056204614,0.602024436663906,jump_relation_semantic_floor,True,used,65.90245954338639,0.6666666666666666,1.0,0.6666666666666666,0.050133333333333335,0.2057096570304648,0.28216483687058713,0.6568214025692816,0.6343532618328919,1.0,0.8402162941255411,1.1700986757322334,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_001048_5bcb9948/holistic/user_跳_web_20260523_001048_5bcb9948_holistic_results.json,accepted
web_20260523_001100_dea381ee,2026-05-23T00:11:01,15,3.844186638622691,low,0.36743328117324564,0.586549465708861,short_action_window_with_query_energy_peak,False,insufficient_two_hand_presence,0.0,0.5,1.0,0.5,0.07519999999999999,0.18318986670821294,0.2822530007641639,0.40733160963672504,,,,,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_001100_dea381ee/holistic/user_跳_web_20260523_001100_dea381ee_holistic_results.json,two_hand_presence_low
web_20260523_001113_b486eb41,2026-05-23T00:11:14,15,1.2390598663614791,low,0.37864953004588203,0.7903471079192832,short_action_window_with_query_energy_peak,False,insufficient_two_hand_presence,0.0,0.0,1.0,0.0,0.15039999999999998,0.14702607961553407,0.2858788693780585,0.0,,,,,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_001113_b486eb41/holistic/user_跳_web_20260523_001113_b486eb41_holistic_results.json,two_hand_presence_low
web_20260523_001152_83546751,2026-05-23T00:11:53,15,14.0274315706237,low,0.22227135388266564,0.3535479676057238,short_action_window_with_query_energy_peak,False,relation_direction_mismatch,0.0,1.0,1.0,1.0,0.0,0.17613264724565697,0.28282927760712906,0.33275717850078784,-0.716785070387285,,,,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_001152_83546751/holistic/user_跳_web_20260523_001152_83546751_holistic_results.json,relation_direction_mismatch
web_20260523_005941_0ec0ccab,2026-05-23T00:59:43,15,72.94156046282042,borderline,0.24862723915377483,0.4013452743596904,jump_relation_semantic_floor,True,used,72.94156046282042,1.0,1.0,1.0,0.0,0.17910498720076323,0.26841005143129565,0.4935774763077468,0.6822110431037113,1.0,2.763646596816733,1.0931475908261523,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_005941_0ec0ccab/holistic/user_跳_web_20260523_005941_0ec0ccab_holistic_results.json,accepted
web_20260523_005953_cdf0697d,2026-05-23T00:59:54,15,1.3463234556132853,low,0.3468904109263737,0.7754026814745296,short_action_window_with_query_energy_peak,False,insufficient_two_hand_presence,0.0,1.0,0.3333333333333333,0.3333333333333333,0.11733333333333333,0.11330998589129282,0.17787305968942493,0.10112545574768735,,,,,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_005953_cdf0697d/holistic/user_跳_web_20260523_005953_cdf0697d_holistic_results.json,two_hand_presence_low
web_20260523_010004_7eaf7ee3,2026-05-23T01:00:05,15,81.27714648082065,normal,0.25075330166362464,0.3599982662032847,jump_relation_semantic_floor,True,used,81.27714648082065,1.0,1.0,1.0,0.0,0.18377783719045995,0.2742014463232974,0.47707930299012263,0.9157889034738838,1.0,1.6941603099516631,0.4523037922190589,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_010004_7eaf7ee3/holistic/user_跳_web_20260523_010004_7eaf7ee3_holistic_results.json,accepted
web_20260523_010014_049faf7d,2026-05-23T01:00:15,15,1.0698789179942558,low,0.35612464552229073,0.8167724468406845,short_action_window_with_query_energy_peak,False,insufficient_two_hand_presence,0.0,1.0,0.3333333333333333,0.3333333333333333,0.11733333333333333,0.12399995229149166,0.17900629943323176,0.1390530256708685,,,,,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_010014_049faf7d/holistic/user_跳_web_20260523_010014_049faf7d_holistic_results.json,two_hand_presence_low
web_20260523_010234_e2d59e5e,2026-05-23T01:02:37,45,78.84372610083881,normal,0.27820758223473047,0.4069772299826234,jump_relation_semantic_floor,True,used,78.84372610083881,0.8461538461538461,1.0,0.8461538461538461,0.02313846153846154,0.2151106851174088,0.28489383686243375,0.40227264252223977,0.9932451602469888,1.0,3.995658977169685,0.0030545090216096277,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_010234_e2d59e5e/holistic/user_跳_web_20260523_010234_e2d59e5e_holistic_results.json,accepted
web_20260523_011122_fb34e3e5,2026-05-23T01:11:24,30,7.798029869895625,low,0.30332966411567763,0.45923383169623,short_action_window_with_query_energy_peak,False,relation_direction_mismatch,0.0,0.75,1.0,0.75,0.037599999999999995,0.22123623607039974,0.2740017864599523,0.431567594670723,0.21700561669505578,,,,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_011122_fb34e3e5/holistic/user_跳_web_20260523_011122_fb34e3e5_holistic_results.json,relation_direction_mismatch
