case_id,case_type,expected,query_length,prototype_score,dtw_distance,normalized_distance
self,target_positive_variant,high,53,100.0,0.0,0.0
subsample_even,target_positive_variant,high,27,94.2876251362183,0.01539710685330674,0.018537053331295676
trim_start_20pct,target_positive_variant,high,42,98.61365820507238,0.00041350825936932293,0.0022930401989365683
trim_end_20pct,target_positive_variant,high,42,97.16712108624674,0.0007638393904752382,0.004663475469071077
trim_both_10pct,target_positive_variant,high,43,98.64332093838112,0.0004336601830443232,0.002262529882808506
amplitude_0.85,target_positive_variant,high,53,80.3106069532393,0.028653916234663922,0.03179392991705743
amplitude_1.15,target_positive_variant,high,53,80.40601003573875,0.028737772637279235,0.03162178283175366
fake_reverse_time,synthetic_fake_action,low,53,20.40517312505013,0.03657461714592189,0.1907258079268524
fake_shuffle_frames,synthetic_fake_action,low,53,31.323363138672512,0.03185511403152675,0.13929671288685225
fake_static_hold,synthetic_fake_action,low,53,2.124809860957276,0.02834501062470383,0.46217854377739326
fake_random_landmarks,synthetic_fake_action,low,53,1.4049455296381455,0.030773787296727088,0.5118205983473686
fake_random_walk,synthetic_fake_action,low,53,3.8942529342717087,0.0307501146784112,0.3894801991530628
other_demo_跳,other_demo_action,low,19,15.08977294926989,0.06432109281941949,0.22693835517099037
other_demo_唱歌,other_demo_action,low,27,21.673463261673856,0.09817126271663867,0.1834897877940408
other_demo_香蕉,other_demo_action,low,42,12.561558385569649,0.052070467613326746,0.2489434748832639
